JEEPETA;Jeep;Grandcherokee;2018;BLANCO; 2	800	000.00 ;
JEEPETA;BMW;X5;2014;BLANCO; 1	795	000.00 ;
JEEPETA;Toyota;Highlander;2013;BLANCO; 1	50	000.00 ;
JEEPETA;Jeep;Grandcherokee;2014;VERDE; 1	50	000.00 ;
JEEPETA;BMW;X5;2012;GRIS; 895	000.00 ;	
JEEPETA;Jeep;Grandcherokee;2013;GRIS; 750	000.00 ;	
JEEPETA;Ford;Escape;2013;GRIS; 535	000.00 ;	
JEEPETA;Lexus;RX350;2007;BLANCO; 365	000.00 ;	
JEEPETA;Land Rover;DISCOVERY;2007;NEGRO; 325	000.00 ;	
AUTOMOVIL;Ford;Mustang Coupe;2015;AZUL; 975	000.00 ;	
AUTOMOVIL;Kia;Picanto;2018;GRIS; 515	000.00 ;	
AUTOMOVIL;Hyundai;Veloster;2014;NARANJA; 395	000.00 ;	
AUTOMOVIL;Hyundai;Elantra;2016;GRIS; 385	000.00 ;	
AUTOMOVIL;Kia;K5;2013;GRIS; 335	000.00 ;	
AUTOMOVIL;Hyundai;Accent;2010;GRIS; 195	000.00 ;	
;;;;;;		
;;;;;;		
;;;;;;		
;;;;;;		
;;;;;;		
;;;;;;		
;;;;;;		
;;;;;;		
;;;;;;		
;;;;;;		
;;;;;;		
;;;;;;		
;;;;;;		
;;;;;;		
;;;;;;		
;;;;;;		
;;;;;;		
;;;;;;		
;;;;;;		
;;;;;;		
;;;;;;		
;;;;;;		
;;;;;;		
;;;;;;		
;;;;;;		
;;;;;;		
;;;;;;		
;;;;;;		
